Date,Close,Open,Max,Min,Volume
02-12-2022,8382.6,8390,8414.1,8342.3,146.28
01-12-2022,8407.9,8426.2,8469,8381.8,209.72
30-11-2022,8363.2,8350.4,8364.6,8304.4,325.06
29-11-2022,8322.1,8348.5,8354.5,8282.8,145.89
28-11-2022,8323.2,8380.7,8396.4,8316.7,125.89
25-11-2022,8416.6,8391.7,8425.5,8378.2,135.91
24-11-2022,8388.1,8341.3,8412.5,8339.2,137.79
23-11-2022,8331.2,8338.8,8344,8288.4,154.54
22-11-2022,8325,8203.3,8345.6,8200.3,215.62
21-11-2022,8188.4,8102.9,8198.5,8100.5,155.12
18-11-2022,8127.8,8107,8127.8,8048.5,178.69
17-11-2022,8040.7,8105.1,8123.2,7986.1,139.5
16-11-2022,8101.4,8175.1,8188.7,8075,163.76
15-11-2022,8188.4,8161,8192.1,8117.3,182.29
14-11-2022,8166.5,8123.2,8210.8,8110.4,142.67
11-11-2022,8098.1,8178.7,8178.7,8073.8,218
10-11-2022,8133.2,8004,8176,7975.1,256.12
09-11-2022,8040.4,7983.4,8061.6,7968.1,161.11
08-11-2022,7998.9,7942.3,8005.8,7922,120.2
07-11-2022,7962.3,7910.5,7990,7893.2,138.36
04-11-2022,7942.7,7908.5,8006,7830.6,197.13
03-11-2022,7868.9,7897.5,7897.5,7798.4,140.56
02-11-2022,7968.6,8017.8,8018.2,7960.6,144.93
01-11-2022,7999,8011.8,8073.9,7971.8,146.53
31-10-2022,7956.5,7913.6,7958.1,7871.7,164.83
28-10-2022,7916.5,7859.6,7916.5,7832.6,185.93
27-10-2022,7921.1,7846.9,7944.3,7798.9,202.34
26-10-2022,7870.6,7826.4,7877.9,7756.6,186.58
25-10-2022,7794.9,7716.5,7803.6,7675.2,149.34
24-10-2022,7680.5,7612.2,7739.6,7570,169.75
21-10-2022,7545.6,7586.4,7592.6,7449.6,245.06
20-10-2022,7644.4,7584.7,7660.7,7552.1,178.42
19-10-2022,7583.6,7630.4,7642.6,7530.5,131.87
18-10-2022,7611.3,7613,7692.3,7594.6,149.75
17-10-2022,7557.1,7416.1,7589.1,7413.4,166.45
14-10-2022,7382.5,7467.9,7503.4,7371.6,187.97
13-10-2022,7348.8,7234.1,7385.3,7189.6,195.47
12-10-2022,7261.1,7356.3,7359.7,7239,135.44
11-10-2022,7355.9,7369.3,7410.3,7315.5,130.87
10-10-2022,7413.5,7389.5,7441.4,7372.9,114.4
07-10-2022,7436.9,7463.9,7517.5,7412.5,133
06-10-2022,7511.1,7597.3,7638.8,7482.1,118.07
05-10-2022,7579.9,7655.6,7678.4,7537.9,130.26
04-10-2022,7696.6,7548.5,7699.9,7529.2,199.97
03-10-2022,7462,7327.5,7472.9,7288.5,155.77
30-09-2022,7366.8,7345.6,7395.1,7318.5,186.03
29-09-2022,7300.1,7407.4,7416.9,7242.2,185.71
28-09-2022,7442.2,7380.7,7448.4,7273,217.52
27-09-2022,7445.7,7564.3,7587.6,7436.1,199.71
26-09-2022,7508.5,7534.2,7589.2,7473.5,190.14
23-09-2022,7583.5,7770.8,7770.8,7527.5,215.67
22-09-2022,7774.7,7776.3,7897.1,7753.6,182.96
21-09-2022,7872.2,7803.4,7896.7,7790.5,157.19
20-09-2022,7873.1,8020.8,8064.1,7873.1,157.29
19-09-2022,7993.2,7957.8,8023.4,7911,110.51
16-09-2022,7984.7,7994.4,8039.2,7962.2,329.45
15-09-2022,8085.5,8051.9,8125.4,8024.2,229.94
14-09-2022,8055.6,8070.3,8124.5,8024,160.07
13-09-2022,8064,8229,8235.8,8054.7,192.03
12-09-2022,8194.3,8087.8,8212.6,8077.4,173.42
09-09-2022,8033.1,7920.5,8063.8,7918.6,189.94
08-09-2022,7916.8,7902.3,7933.3,7772.7,206.75
