GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.577345729,0.550920904,0.505712271,0.398582451,0.529080272,0.37980838,0,0.515112828,1
0.580353022,0.558059633,0.511828423,0.401541237,0.518808663,0.347716108,0.515112828,0.524767802,2
0.593048215,0.564975977,0.518367469,0.400056845,0.522295237,0.326109086,0.524767802,0.512208356,3
0.589113533,0.564728022,0.514750421,0.396421819,0.543966889,0.312197229,0.512208356,0.471721298,4
0.591117442,0.545817554,0.504914343,0.3718261,0.463032305,0.316089942,0.471721298,0.470125435,5
0.558144271,0.52747786,0.492617607,0.370473094,0.512251377,0.336613361,0.470125435,0.479636781,6
0.533354402,0.520279646,0.488227189,0.369585989,0.482339621,0.309618725,0.479636781,0.492770738,7
0.541894674,0.523139715,0.482574791,0.391690744,0.537970066,0.303609821,0.492770738,0.476173758,8
0.569330454,0.529177904,0.482114464,0.384805204,0.504384041,0.294884724,0.476173758,0.484440331,9
0.574043036,0.533735991,0.485623121,0.392615058,0.511546612,0.293649552,0.484440331,0.502393795,10
0.576183259,0.544139445,0.498710006,0.386066458,0.486429572,0.307514363,0.502393795,0.529427723,11
0.577235937,0.554357529,0.509492993,0.381348998,0.535728335,0.349839565,0.529427723,0.525071016,12
0.55056411,0.556649923,0.50838685,0.398961104,0.576527417,0.34922614,0.525071016,0.54256168,13
0.569018364,0.562330365,0.534167171,0.410754681,0.482828677,0.330752502,0.54256168,0.547445023,14
0.57798028,0.575579047,0.537183642,0.411241718,0.604031742,0.328508511,0.547445023,0.53999234,15
0.580857098,0.577509761,0.539780498,0.400682654,0.53644079,0.317431107,0.53999234,0.538364559,16
0.571668684,0.573432028,0.543217897,0.414329356,0.555229783,0.294331427,0.538364559,0.54993457,17
0.58014971,0.579800129,0.549102783,0.418401045,0.545859635,0.298119877,0.54993457,0.546407711,18
0.591763973,0.586289525,0.544905484,0.423025235,0.576260626,0.314074898,0.546407711,0.547173726,19
0.606652796,0.590883732,0.549588561,0.421696433,0.531058729,0.33103801,0.547173726,0.548258913,20
0.609591126,0.594072521,0.551245213,0.418584157,0.550778449,0.373254892,0.548258913,0.554387029,21
0.606773734,0.596936822,0.552334607,0.424507382,0.552133083,0.385768987,0.554387029,0.554833871,22
0.615375817,0.600079656,0.556061029,0.42973519,0.538206756,0.38187366,0.554833871,0.54958348,23
0.630260766,0.602396846,0.555592537,0.42351183,0.542353213,0.371604117,0.54958348,0.531135297,24
0.626139879,0.595514297,0.548873365,0.400224266,0.523956776,0.398772241,0.531135297,0.526826466,25
0.597483337,0.579853833,0.541993082,0.383689152,0.513409317,0.390340763,0.526826466,0.538077304,26
0.557358682,0.568855286,0.537393332,0.398381873,0.556354821,0.390333418,0.538077304,0.552184737,27
0.561911523,0.57084322,0.543421507,0.414469306,0.539590657,0.413367906,0.552184737,0.550828253,28
0.583570242,0.579318881,0.543991089,0.413452555,0.580375314,0.404171534,0.550828253,0.549312183,29
0.580832303,0.583386958,0.547335923,0.411887036,0.566928446,0.412867979,0.549312183,0.557115955,30
0.579195201,0.584638298,0.557013631,0.414804487,0.539067805,0.420605695,0.557115955,0.548562127,31
0.585041463,0.585211515,0.551653743,0.416906444,0.579108834,0.416191999,0.548562127,0.547732278,32
0.588401437,0.586273134,0.55241245,0.418904427,0.551147699,0.412367493,0.547732278,0.534678114,33
0.595101595,0.583313465,0.549209177,0.409039706,0.535610497,0.39830929,0.534678114,0.516772526,34
0.59643513,0.572375476,0.537031412,0.384522318,0.528939188,0.4027076,0.516772526,0.513389295,35
0.557412088,0.558032751,0.525400937,0.387407278,0.551876128,0.419836419,0.513389295,0.527448853,36
0.5489676,0.55317533,0.529886425,0.401208069,0.505439043,0.41134239,0.527448853,0.526906259,37
0.567584217,0.560644984,0.522153378,0.417500092,0.583592355,0.419559229,0.526906259,0.527097763,38
0.593922138,0.571949661,0.527297199,0.416228526,0.528917313,0.407139226,0.527097763,0.521703744,39
0.607564092,0.576218724,0.529346585,0.409864029,0.526482046,0.400429309,0.521703744,0.519884459,40
0.608581424,0.57611531,0.526779413,0.403464958,0.524996161,0.40042599,0.519884459,0.526379624,41
0.598708928,0.574431062,0.529109061,0.396322728,0.510586321,0.38035589,0.526379624,0.536784654,42
0.582931638,0.574905038,0.529072583,0.41047485,0.554005444,0.369338235,0.536784654,0.537566627,43
0.596005261,0.576950312,0.537375093,0.400545753,0.504876196,0.38636396,0.537566627,0.54361495,44
0.582233429,0.579565406,0.534812212,0.4161613,0.59153533,0.408663512,0.54361495,0.543024481,45
0.587436855,0.583411634,0.546003997,0.423368673,0.511308193,0.394909388,0.543024481,0.541907376,46
0.616205931,0.589061618,0.545683622,0.429062809,0.55311656,0.395730996,0.541907376,0.510676327,47
0.630235136,0.585504711,0.53564167,0.391280622,0.516050637,0.376312493,0.510676327,0.507388848,48
0.592563748,0.568013906,0.524707556,0.383991185,0.512703955,0.372552257,0.507388848,0.528948964,49
0.558113754,0.560894728,0.52861917,0.394972418,0.50921613,0.385418637,0.528948964,0.524576298,50
0.570253849,0.561990619,0.52004379,0.415634728,0.56400913,0.371695892,0.524576298,0.546806677,51
0.597997785,0.578423142,0.533820152,0.42653809,0.536642432,0.361169944,0.546806677,0.542322301,52
0.613627374,0.591384232,0.53966105,0.425943651,0.557470918,0.370143197,0.542322301,0.536976158,53
0.636452436,0.594442427,0.54254806,0.420403835,0.513776302,0.362171525,0.536976158,0.548370623,54
0.624805093,0.598291636,0.548600316,0.415199156,0.538259387,0.34015064,0.548370623,0.560499186,55
0.612641335,0.599000335,0.55510056,0.404632786,0.524247527,0.348004728,0.560499186,0.575691807,56
