GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.487844378,0.539986908,0.499454677,0.360403074,0.534568369,0.3797105,0.524767802,1
0.478850782,0.541273355,0.502653897,0.363004322,0.53619498,0.347548385,0.512208356,2
0.470213354,0.540693164,0.512133181,0.373839502,0.540323794,0.32588797,0.471721298,3
0.48407957,0.55576539,0.51088351,0.369779555,0.53884244,0.312018707,0.470125435,4
0.464284718,0.551687896,0.480416238,0.371314657,0.542989433,0.316028117,0.479636781,5
0.499635816,0.541449189,0.473914862,0.358886396,0.533719122,0.336719865,0.492770738,6
0.469235122,0.524718404,0.465498328,0.336675695,0.538382471,0.309672573,0.476173758,7
0.478266388,0.518246353,0.481089413,0.324122813,0.533581078,0.303611508,0.484440331,8
0.446017057,0.524953008,0.473169208,0.32327144,0.534527063,0.294903832,0.502393795,9
0.459928155,0.525055647,0.480046988,0.325865569,0.527025223,0.293696081,0.529427723,10
0.434031039,0.520805418,0.483047962,0.340490566,0.535762489,0.307647377,0.525071016,11
0.425973326,0.522816539,0.510579348,0.345622655,0.544220448,0.350148774,0.54256168,12
0.489206553,0.558113873,0.524206281,0.336209197,0.541485667,0.349512641,0.547445023,13
0.510078669,0.545069635,0.53201431,0.393416359,0.549962163,0.330850084,0.53999234,14
0.559608519,0.564846158,0.541532099,0.428241418,0.54567802,0.328527139,0.538364559,15
0.516515672,0.572675824,0.541942239,0.403344038,0.549764037,0.317406908,0.54993457,16
0.566049755,0.575455368,0.539684594,0.426176406,0.546091318,0.294217726,0.546407711,17
0.56102562,0.568039536,0.541454434,0.440004243,0.546564519,0.298040527,0.547173726,18
0.556721807,0.574850082,0.543466628,0.431670202,0.542373657,0.314122626,0.548258913,19
0.531924307,0.571698606,0.543960869,0.429845019,0.543242693,0.331177044,0.554387029,20
0.538599312,0.574282646,0.543410659,0.440433445,0.542533457,0.37352968,0.554833871,21
0.536067665,0.576024294,0.549232602,0.430272704,0.540911973,0.386044525,0.54958348,22
0.536838412,0.575616539,0.548399985,0.439894485,0.541614234,0.382004145,0.531135297,23
0.529474437,0.575662613,0.546563804,0.447070296,0.541415811,0.371592712,0.526826466,24
0.505781353,0.578003526,0.532639682,0.436116205,0.544204831,0.398806078,0.538077304,25
0.504462898,0.572325528,0.526781321,0.421807519,0.548034549,0.390340272,0.552184737,26
0.546809554,0.572205186,0.532960951,0.407898743,0.546387315,0.390261072,0.550828253,27
0.55125463,0.561147034,0.540587246,0.419802292,0.550063193,0.413367659,0.549312183,28
0.555756807,0.568113148,0.548438609,0.433599824,0.549364924,0.404135066,0.557115955,29
0.551488996,0.580278695,0.552502096,0.423374187,0.547863066,0.412805848,0.548562127,30
0.561247051,0.576198578,0.552064538,0.444982591,0.551003218,0.420571592,0.547732278,31
0.574857116,0.581588447,0.5495314,0.449949605,0.548122466,0.416122022,0.534678114,32
0.561187863,0.580184758,0.548991859,0.439045652,0.546050549,0.412257498,0.516772526,33
0.552646399,0.576670647,0.533780992,0.447649734,0.547143817,0.398148701,0.513389295,34
0.523725688,0.569540381,0.520662725,0.430817582,0.548717141,0.402573771,0.527448853,35
0.540922344,0.572220266,0.516424835,0.395329695,0.543468058,0.419811544,0.526906259,36
0.539074242,0.551895738,0.514210522,0.401167377,0.547405005,0.411307019,0.527097763,37
0.556689739,0.556185603,0.520497799,0.403985665,0.539421201,0.419526597,0.521703744,38
0.511926472,0.556161284,0.522157073,0.39208913,0.538260639,0.407074004,0.519884459,39
0.507124066,0.557654738,0.515397012,0.405318545,0.537638366,0.400324019,0.526379624,40
0.491802305,0.557239115,0.514163435,0.394895323,0.53661561,0.400345532,0.536784654,41
0.479444206,0.554139853,0.516038001,0.392629042,0.54142189,0.380232998,0.537566627,42
0.511483252,0.559978604,0.528497517,0.388350839,0.539024889,0.369190867,0.54361495,43
0.489254385,0.554961562,0.528126478,0.406574509,0.548355818,0.38633949,0.543024481,44
0.54446131,0.57151413,0.54366076,0.404827194,0.539772749,0.408784355,0.541907376,45
0.531795144,0.570005894,0.535853207,0.414857395,0.54355824,0.394977354,0.510676327,46
0.548628926,0.566076577,0.537013531,0.442464571,0.538878143,0.395745849,0.507388848,47
0.48684743,0.569960415,0.512677848,0.421804666,0.542168498,0.37626046,0.528948964,48
0.493632793,0.565137029,0.509597301,0.390791664,0.539389849,0.372478344,0.524576298,49
0.513537705,0.553127885,0.51198411,0.392413748,0.543878376,0.385434993,0.546806677,50
0.533507347,0.554878592,0.516648352,0.388790084,0.539243996,0.371695121,0.542322301,51
0.513842285,0.550997257,0.536179781,0.39648049,0.537820518,0.361114929,0.536976158,52
0.518726528,0.565948963,0.533762395,0.412413738,0.536652446,0.370147152,0.548370623,53
0.492577374,0.563503742,0.533945143,0.414376074,0.537853122,0.362185364,0.560499186,54
0.506056488,0.568140864,0.539572477,0.425353655,0.538258374,0.340080058,0.575691807,55
0.488011092,0.56831491,0.548082769,0.425767912,0.54805851,0.347978479,0.594347451,56
0.518629491,0.576360285,0.569902599,0.431682389,0.553646088,0.337568785,0.584022214,57
0.583000004,0.595962763,0.591014802,0.440663012,0.553112686,0.338743379,0.584963774,58
0.610933781,0.598855436,0.584685624,0.488502269,0.554515541,0.349063026,0.584229677,59
0.621588886,0.600251138,0.589143753,0.515040153,0.546806574,0.355211852,0.593533561,60
0.581976295,0.603333414,0.582024395,0.504907226,0.548558176,0.340967955,0.590996138,61
0.533252418,0.588821948,0.587119281,0.506636713,0.561041594,0.296318464,0.591347228,62
0.625844896,0.625374854,0.602944613,0.46356377,0.549692094,0.280388193,0.59752322,63
0.632663131,0.606670618,0.587563753,0.500608096,0.551892996,0.256021177,0.583495579,64
0.651297152,0.595203221,0.590073287,0.565830387,0.537687838,0.267238925,0.573377805,65
0.54816097,0.599425912,0.583051443,0.505226684,0.53349191,0.30097773,0.596039067,66
0.518956721,0.594869316,0.571826577,0.482294241,0.53437072,0.300806663,0.588921515,67
0.52912277,0.589003503,0.579684198,0.506910958,0.54054904,0.287846594,0.581628419,68
